date,geo,var1
2015-01-06,geo 2,5952.46
2015-01-06,geo 20,809.73
2015-01-06,geo 21,920.58
2015-01-06,geo 22,641.04
2015-01-06,geo 23,621.75
2015-01-06,geo 24,612.12
2015-01-06,geo 25,679.59
2015-01-06,geo 26,462.7
2015-01-06,geo 27,530.18
2015-01-06,geo 28,433.78
2015-01-06,geo 29,428.96
2015-01-06,geo 3,5263.24
2015-01-06,geo 30,371.13
2015-01-06,geo 31,298.83
2015-01-06,geo 32,424.14
2015-01-06,geo 33,380.76
2015-01-06,geo 34,313.29
2015-01-06,geo 35,303.65
2015-01-06,geo 36,236.17
2015-01-06,geo 37,294.01
2015-01-06,geo 38,361.49
2015-01-06,geo 39,240.99
2015-01-06,geo 4,4130.58
2015-01-06,geo 40,269.91
2015-01-06,geo 41,395.23
2015-01-06,geo 42,269.91
2015-01-06,geo 43,303.65
2015-01-06,geo 44,192.79
2015-01-06,geo 45,250.63
2015-01-06,geo 46,221.71
2015-01-06,geo 47,231.35
2015-01-06,geo 48,197.61
2015-01-06,geo 49,226.53
2015-01-06,geo 5,3084.68
2015-01-06,geo 50,173.51
2015-01-06,geo 51,212.08
2015-01-06,geo 52,236.17
2015-01-06,geo 53,216.89
2015-01-06,geo 54,120.5
2015-01-06,geo 55,187.98
2015-01-06,geo 56,168.69
2015-01-06,geo 57,130.14
2015-01-06,geo 58,139.78
2015-01-06,geo 59,125.31
2015-01-06,geo 6,2684.64
2015-01-06,geo 60,154.24
2015-01-06,geo 61,173.51
2015-01-06,geo 62,173.51
2015-01-06,geo 63,134.95
2015-01-06,geo 64,110.85
2015-01-06,geo 65,125.31
2015-01-06,geo 66,110.85
2015-01-06,geo 67,91.58
2015-01-06,geo 68,159.05
2015-01-06,geo 69,154.24
2015-01-06,geo 7,2434
2015-01-06,geo 70,77.11
2015-01-06,geo 71,144.59
2015-01-06,geo 72,96.4
2015-01-06,geo 73,115.68
2015-01-06,geo 74,91.58
2015-01-06,geo 75,96.4
2015-01-06,geo 76,96.4
2015-01-06,geo 77,81.94
2015-01-06,geo 78,91.58
2015-01-06,geo 79,106.04
2015-01-06,geo 8,2149.63
2015-01-06,geo 80,57.84
2015-01-06,geo 81,72.3
2015-01-06,geo 82,62.66
2015-01-06,geo 83,43.38
2015-01-06,geo 84,53.01
2015-01-06,geo 85,33.74
2015-01-06,geo 86,62.66
2015-01-06,geo 87,48.2
2015-01-06,geo 88,19.28
2015-01-06,geo 89,57.84
2015-01-06,geo 9,1874.91
2015-01-06,geo 90,67.48
2015-01-06,geo 91,19.28
2015-01-06,geo 92,62.66
2015-01-06,geo 93,57.84
2015-01-06,geo 94,53.01
2015-01-06,geo 95,48.2
2015-01-06,geo 96,19.28
2015-01-06,geo 97,14.46
2015-01-06,geo 98,24.1
2015-01-06,geo 99,28.91
2015-01-07,geo 1,6776.46
2015-01-07,geo 10,1922.99
2015-01-07,geo 100,38.75
2015-01-07,geo 11,1414.38
2015-01-07,geo 12,1390.16
2015-01-07,geo 13,1162.51
2015-01-07,geo 14,1351.42
2015-01-07,geo 15,1457.99
2015-01-07,geo 16,1114.07
2015-01-07,geo 17,1152.82
2015-01-07,geo 18,934.86
2015-01-07,geo 19,905.79
2015-01-07,geo 2,6040.2
2015-01-07,geo 20,896.1
2015-01-07,geo 21,634.53
2015-01-07,geo 22,765.32
2015-01-07,geo 23,484.38
2015-01-07,geo 24,527.98
2015-01-07,geo 25,494.06
2015-01-07,geo 26,557.04
2015-01-07,geo 27,498.91
2015-01-07,geo 28,319.69
2015-01-07,geo 29,411.73
2015-01-07,geo 3,5231.3
2015-01-07,geo 30,397.19
2015-01-07,geo 31,334.22
2015-01-07,geo 32,300.31
2015-01-07,geo 33,372.97
2015-01-07,geo 34,372.97
2015-01-07,geo 35,184.06
2015-01-07,geo 36,382.66
2015-01-07,geo 37,290.63
2015-01-07,geo 38,339.07
2015-01-07,geo 39,372.97
2015-01-07,geo 4,3938
2015-01-07,geo 40,305.16
2015-01-07,geo 41,237.35
2015-01-07,geo 42,276.09
2015-01-07,geo 43,251.87
2015-01-07,geo 44,339.07
2015-01-07,geo 45,242.19
2015-01-07,geo 46,285.78
2015-01-07,geo 47,193.75
2015-01-07,geo 48,169.53
2015-01-07,geo 49,242.19
2015-01-07,geo 5,2877.21
2015-01-07,geo 50,96.88
2015-01-07,geo 51,213.13
2015-01-07,geo 52,164.69
2015-01-07,geo 53,155
2015-01-07,geo 54,140.47
2015-01-07,geo 55,188.91
2015-01-07,geo 56,193.75
2015-01-07,geo 57,101.72
2015-01-07,geo 58,135.62
2015-01-07,geo 59,116.25
2015-01-07,geo 6,2664.09
2015-01-07,geo 60,184.06
2015-01-07,geo 61,145.31
2015-01-07,geo 62,164.69
2015-01-07,geo 63,116.25
2015-01-07,geo 64,111.4
2015-01-07,geo 65,184.06
2015-01-07,geo 66,155
2015-01-07,geo 67,111.4
2015-01-07,geo 68,145.31
2015-01-07,geo 69,77.5
2015-01-07,geo 7,2373.46
2015-01-07,geo 70,116.25
2015-01-07,geo 71,130.78
2015-01-07,geo 72,82.35
2015-01-07,geo 73,62.97
2015-01-07,geo 74,67.81
2015-01-07,geo 75,77.5
2015-01-07,geo 76,82.35
2015-01-07,geo 77,72.66
2015-01-07,geo 78,43.59
2015-01-07,geo 79,62.97
2015-01-07,geo 8,2111.89
2015-01-07,geo 80,92.03
2015-01-07,geo 81,82.35
2015-01-07,geo 82,111.4
2015-01-07,geo 83,67.81
2015-01-07,geo 84,116.25
2015-01-07,geo 85,67.81
2015-01-07,geo 86,77.5
2015-01-07,geo 87,43.59
2015-01-07,geo 88,48.44
2015-01-07,geo 89,48.44
2015-01-07,geo 9,1913.29
2015-01-07,geo 90,38.75
2015-01-07,geo 91,43.59
2015-01-07,geo 92,43.59
2015-01-07,geo 93,53.28
2015-01-07,geo 94,9.69
2015-01-07,geo 95,9.69
2015-01-07,geo 96,24.22
2015-01-07,geo 97,24.22
2015-01-07,geo 98,43.59
2015-01-07,geo 99,43.59
2015-01-08,geo 1,6576.36
2015-01-08,geo 10,1582.03
2015-01-08,geo 100,24.34
2015-01-08,geo 11,1431.12
2015-01-08,geo 12,1255.88
2015-01-08,geo 13,1426.26
2015-01-08,geo 14,1178
2015-01-08,geo 15,1251.02
2015-01-08,geo 16,1270.49
2015-01-08,geo 17,846.99
2015-01-08,geo 18,968.69
2015-01-08,geo 19,910.27
2015-01-08,geo 2,5539.52
2015-01-08,geo 20,715.56
2015-01-08,geo 21,666.89
2015-01-08,geo 22,593.87
2015-01-08,geo 23,647.42
2015-01-08,geo 24,530.59
2015-01-08,geo 25,408.89
2015-01-08,geo 26,506.25
2015-01-08,geo 27,311.53
2015-01-08,geo 28,374.82
2015-01-08,geo 29,428.36
2015-01-08,geo 3,4634.11
2015-01-08,geo 30,282.33
2015-01-08,geo 31,447.84
2015-01-08,geo 32,345.61
2015-01-08,geo 33,423.5
2015-01-08,geo 34,316.41
2015-01-08,geo 35,306.67
2015-01-08,geo 36,287.19
2015-01-08,geo 37,306.67
2015-01-08,geo 38,326.14
2015-01-08,geo 39,180.11
2015-01-08,geo 4,4069.46
2015-01-08,geo 40,321.27
2015-01-08,geo 41,214.19
2015-01-08,geo 42,189.85
2015-01-08,geo 43,292.07
2015-01-08,geo 44,228.78
2015-01-08,geo 45,223.92
2015-01-08,geo 46,165.51
2015-01-08,geo 47,180.11
2015-01-08,geo 48,150.9
2015-01-08,geo 49,136.29
2015-01-08,geo 5,2667.54
2015-01-08,geo 50,97.36
2015-01-08,geo 51,165.51
2015-01-08,geo 52,141.17
2015-01-08,geo 53,107.09
2015-01-08,geo 54,175.24
2015-01-08,geo 55,184.97
2015-01-08,geo 56,194.71
2015-01-08,geo 57,87.61
2015-01-08,geo 58,136.29
2015-01-08,geo 59,126.56
2015-01-08,geo 6,2472.82
2015-01-08,geo 60,126.56
2015-01-08,geo 61,141.17
2015-01-08,geo 62,170.37
2015-01-08,geo 63,121.7
2015-01-08,geo 64,77.88
2015-01-08,geo 65,102.22
2015-01-08,geo 66,53.54
2015-01-08,geo 67,92.49
2015-01-08,geo 68,87.61
2015-01-08,geo 69,87.61
2015-01-08,geo 7,2312.19
2015-01-08,geo 70,87.61
2015-01-08,geo 71,24.34
2015-01-08,geo 72,97.36
2015-01-08,geo 73,77.88
2015-01-08,geo 74,73.02
2015-01-08,geo 75,102.22
2015-01-08,geo 76,48.68
2015-01-08,geo 77,102.22
2015-01-08,geo 78,87.61
2015-01-08,geo 79,53.54
2015-01-08,geo 8,1771.87
2015-01-08,geo 80,68.15
2015-01-08,geo 81,73.02
2015-01-08,geo 82,107.09
2015-01-08,geo 83,107.09
2015-01-08,geo 84,53.54
2015-01-08,geo 85,63.29
2015-01-08,geo 86,68.15
2015-01-08,geo 87,34.07
2015-01-08,geo 88,19.47
2015-01-08,geo 89,34.07
2015-01-08,geo 9,1767
2015-01-08,geo 90,43.81
2015-01-08,geo 91,43.81
2015-01-08,geo 92,14.61
2015-01-08,geo 93,38.95
2015-01-08,geo 94,19.47
2015-01-08,geo 95,19.47
2015-01-08,geo 96,24.34
2015-01-08,geo 97,24.34
2015-01-08,geo 98,38.95
2015-01-08,geo 99,14.61
2015-01-09,geo 1,6452.21
2015-01-09,geo 10,1506.66
2015-01-09,geo 100,4.9
2015-01-09,geo 11,1325.66
2015-01-09,geo 12,1159.34
2015-01-09,geo 13,1076.18
2015-01-09,geo 14,1335.45
2015-01-09,geo 15,993.02
2015-01-09,geo 16,880.51
2015-01-09,geo 17,860.95
2015-01-09,geo 18,821.81
2015-01-09,geo 19,626.15
2015-01-09,geo 2,5865.2
2015-01-09,geo 20,694.63
2015-01-09,geo 21,616.36
2015-01-09,geo 22,503.85
2015-01-09,geo 23,518.53
2015-01-09,geo 24,381.55
2015-01-09,geo 25,381.55
2015-01-09,geo 26,391.34
2015-01-09,geo 27,440.25
2015-01-09,geo 28,435.37
2015-01-09,geo 29,361.99
2015-01-09,geo 3,4358.55
2015-01-09,geo 30,396.23
2015-01-09,geo 31,298.4
2015-01-09,geo 32,278.83
2015-01-09,geo 33,371.77
2015-01-09,geo 34,259.26
2015-01-09,geo 35,239.7
2015-01-09,geo 36,239.7
2015-01-09,geo 37,195.67
2015-01-09,geo 38,244.59
2015-01-09,geo 39,259.26
2015-01-09,geo 4,3526.95
2015-01-09,geo 40,195.67
2015-01-09,geo 41,234.8
2015-01-09,geo 42,239.7
2015-01-09,geo 43,220.13
2015-01-09,geo 44,171.21
2015-01-09,geo 45,185.88
2015-01-09,geo 46,156.54
2015-01-09,geo 47,171.21
2015-01-09,geo 48,132.08
2015-01-09,geo 49,190.78
2015-01-09,geo 5,2533.92
2015-01-09,geo 50,146.75
2015-01-09,geo 51,171.21
2015-01-09,geo 52,146.75
2015-01-09,geo 53,176.1
2015-01-09,geo 54,102.72
2015-01-09,geo 55,166.32
2015-01-09,geo 56,92.94
2015-01-09,geo 57,88.05
2015-01-09,geo 58,102.72
2015-01-09,geo 59,102.72
2015-01-09,geo 6,2279.56
2015-01-09,geo 60,107.62
2015-01-09,geo 61,88.05
2015-01-09,geo 62,132.08
2015-01-09,geo 63,141.86
2015-01-09,geo 64,146.75
2015-01-09,geo 65,53.8
2015-01-09,geo 66,107.62
2015-01-09,geo 67,92.94
2015-01-09,geo 68,73.38
2015-01-09,geo 69,132.08
2015-01-09,geo 7,1853.97
2015-01-09,geo 70,63.6
2015-01-09,geo 71,68.48
2015-01-09,geo 72,58.7
2015-01-09,geo 73,117.4
2015-01-09,geo 74,88.05
2015-01-09,geo 75,83.16
2015-01-09,geo 76,44.02
2015-01-09,geo 77,88.05
2015-01-09,geo 78,97.84
2015-01-09,geo 79,19.56
2015-01-09,geo 8,1624.06
2015-01-09,geo 80,53.8
2015-01-09,geo 81,78.26
2015-01-09,geo 82,48.92
2015-01-09,geo 83,29.35
2015-01-09,geo 84,14.68
2015-01-09,geo 85,19.56
2015-01-09,geo 86,29.35
2015-01-09,geo 87,29.35
2015-01-09,geo 88,44.02
2015-01-09,geo 89,24.46
2015-01-09,geo 9,1668.09
2015-01-09,geo 90,14.68
2015-01-09,geo 91,19.56
2015-01-09,geo 92,9.78
2015-01-09,geo 93,14.68
2015-01-09,geo 94,34.24
2015-01-09,geo 95,53.8
2015-01-09,geo 96,44.02
2015-01-09,geo 97,9.78
2015-01-09,geo 98,4.9
2015-01-09,geo 99,4.9
2015-01-10,geo 1,3131.31
2015-01-10,geo 10,707.87
2015-01-10,geo 11,629.22
2015-01-10,geo 12,530.9
2015-01-10,geo 13,565.31
2015-01-10,geo 14,870.08
2015-01-10,geo 15,452.25
2015-01-10,geo 16,565.31
2015-01-10,geo 17,344.1
2015-01-10,geo 18,388.34
2015-01-10,geo 19,466.99
2015-01-10,geo 2,2413.62
2015-01-10,geo 20,339.18
2015-01-10,geo 21,319.52
2015-01-10,geo 22,245.78
2015-01-10,geo 23,270.36
2015-01-10,geo 24,294.94
2015-01-10,geo 25,196.63
2015-01-10,geo 26,270.36
2015-01-10,geo 27,196.63
2015-01-10,geo 28,191.72
2015-01-10,geo 29,231.03
2015-01-10,geo 3,2443.12
2015-01-10,geo 30,181.89
2015-01-10,geo 31,186.8
2015-01-10,geo 32,191.72
2015-01-10,geo 33,176.97
2015-01-10,geo 34,122.9
2015-01-10,geo 35,186.8
2015-01-10,geo 36,93.4
2015-01-10,geo 37,117.98
2015-01-10,geo 38,88.48
2015-01-10,geo 39,201.55
2015-01-10,geo 4,1558.29
2015-01-10,geo 40,113.06
2015-01-10,geo 41,172.05
2015-01-10,geo 42,137.64
2015-01-10,geo 43,103.23
2015-01-10,geo 44,73.74
2015-01-10,geo 45,54.07
2015-01-10,geo 46,83.57
2015-01-10,geo 47,78.65
2015-01-10,geo 48,54.07
2015-01-10,geo 49,58.99
2015-01-10,geo 5,1420.65
2015-01-10,geo 50,122.9
2015-01-10,geo 51,88.48
2015-01-10,geo 52,83.57
2015-01-10,geo 53,49.16
2015-01-10,geo 54,73.74
2015-01-10,geo 55,98.32
2015-01-10,geo 56,44.24
2015-01-10,geo 57,83.57
2015-01-10,geo 58,34.41
2015-01-10,geo 59,54.07
2015-01-10,geo 6,1056.88
2015-01-10,geo 60,39.33
2015-01-10,geo 61,29.49
2015-01-10,geo 62,58.99
2015-01-10,geo 63,34.41
2015-01-10,geo 64,34.41
2015-01-10,geo 65,49.16
2015-01-10,geo 66,58.99
2015-01-10,geo 67,83.57
2015-01-10,geo 68,24.58
2015-01-10,geo 69,54.07
2015-01-10,geo 7,1066.72
2015-01-10,geo 70,68.82
2015-01-10,geo 71,14.75
2015-01-10,geo 72,68.82
2015-01-10,geo 73,68.82
2015-01-10,geo 74,63.91
2015-01-10,geo 75,34.41
2015-01-10,geo 76,49.16
2015-01-10,geo 77,19.66
2015-01-10,geo 78,4.92
2015-01-10,geo 79,78.65
2015-01-10,geo 8,1081.46
2015-01-10,geo 80,19.66
2015-01-10,geo 81,44.24
2015-01-10,geo 82,39.33
2015-01-10,geo 83,24.58
2015-01-10,geo 84,34.41
2015-01-10,geo 85,39.33
2015-01-10,geo 86,9.83
2015-01-10,geo 87,34.41
2015-01-10,geo 88,24.58
2015-01-10,geo 89,14.75
2015-01-10,geo 9,914.32
2015-01-10,geo 90,9.83
2015-01-10,geo 91,29.49
2015-01-10,geo 92,24.58
2015-01-10,geo 93,4.92
2015-01-10,geo 94,34.41
2015-01-10,geo 95,24.58
2015-01-10,geo 96,4.92
2015-01-10,geo 97,24.58
2015-01-10,geo 98,9.83
2015-01-10,geo 99,14.75
2015-01-11,geo 1,2395.76
2015-01-11,geo 10,419.88
2015-01-11,geo 100,14.82
2015-01-11,geo 11,587.82
2015-01-11,geo 12,400.11
2015-01-11,geo 13,568.07
2015-01-11,geo 14,508.79
2015-01-11,geo 15,291.44
2015-01-11,geo 16,409.99
2015-01-11,geo 17,306.26
2015-01-11,geo 18,311.2
2015-01-11,geo 19,370.48
2015-01-11,geo 2,2114.2
2015-01-11,geo 20,212.41
2015-01-11,geo 21,296.38
2015-01-11,geo 22,291.44
2015-01-11,geo 23,192.65
2015-01-11,geo 24,182.77
2015-01-11,geo 25,271.68
2015-01-11,geo 26,227.23
2015-01-11,geo 27,172.89
2015-01-11,geo 28,103.73
2015-01-11,geo 29,153.13
2015-01-11,geo 3,1788.17
2015-01-11,geo 30,138.31
2015-01-11,geo 31,113.61
2015-01-11,geo 32,202.53
2015-01-11,geo 33,172.89
2015-01-11,geo 34,59.28
2015-01-11,geo 35,113.61
2015-01-11,geo 36,108.68
2015-01-11,geo 37,133.37
2015-01-11,geo 38,123.5
2015-01-11,geo 39,108.68
2015-01-11,geo 4,1091.68
2015-01-11,geo 40,74.1
2015-01-11,geo 41,88.91
2015-01-11,geo 42,74.1
2015-01-11,geo 43,69.15
2015-01-11,geo 44,128.43
2015-01-11,geo 45,59.28
2015-01-11,geo 46,44.45
2015-01-11,geo 47,54.33
2015-01-11,geo 48,49.4
2015-01-11,geo 49,93.85
2015-01-11,geo 5,1017.58
2015-01-11,geo 50,64.22
2015-01-11,geo 51,59.28
2015-01-11,geo 52,39.52
2015-01-11,geo 53,44.45
2015-01-11,geo 54,98.8
2015-01-11,geo 55,59.28
2015-01-11,geo 56,69.15
2015-01-11,geo 57,24.7
2015-01-11,geo 58,24.7
2015-01-11,geo 59,49.4
2015-01-11,geo 6,750.84
2015-01-11,geo 60,64.22
2015-01-11,geo 61,54.33
2015-01-11,geo 62,24.7
2015-01-11,geo 63,59.28
2015-01-11,geo 64,39.52
2015-01-11,geo 65,39.52
2015-01-11,geo 66,29.63
2015-01-11,geo 67,64.22
2015-01-11,geo 68,49.4
2015-01-11,geo 69,9.88
2015-01-11,geo 7,666.86
2015-01-11,geo 70,34.58
2015-01-11,geo 71,24.7
2015-01-11,geo 72,19.76
2015-01-11,geo 73,24.7
2015-01-11,geo 74,88.91
2015-01-11,geo 75,34.58
2015-01-11,geo 76,19.76
2015-01-11,geo 77,19.76
2015-01-11,geo 78,19.76
2015-01-11,geo 79,9.88
2015-01-11,geo 8,706.37
2015-01-11,geo 80,24.7
2015-01-11,geo 81,19.76
2015-01-11,geo 82,14.82
2015-01-11,geo 83,34.58
2015-01-11,geo 84,44.45
2015-01-11,geo 85,14.82
2015-01-11,geo 86,24.7
2015-01-11,geo 87,19.76
2015-01-11,geo 88,14.82
2015-01-11,geo 89,9.88
2015-01-11,geo 9,716.26
2015-01-11,geo 91,9.88
2015-01-11,geo 92,9.88
2015-01-11,geo 93,9.88
2015-01-11,geo 94,19.76
2015-01-11,geo 95,9.88
2015-01-11,geo 96,9.88
2015-01-11,geo 97,9.88
2015-01-11,geo 98,9.88
2015-01-12,geo 1,5673.5
2015-01-12,geo 10,1588.38
2015-01-12,geo 100,9.93
2015-01-12,geo 11,1360.05
2015-01-12,geo 12,1365.01
2015-01-12,geo 13,1141.65
2015-01-12,geo 14,1186.32
2015-01-12,geo 15,1141.65
2015-01-12,geo 16,948.06
2015-01-12,geo 17,1146.61
2015-01-12,geo 18,819.01
2015-01-12,geo 19,903.39
2015-01-12,geo 2,5807.51
2015-01-12,geo 20,630.39
2015-01-12,geo 21,635.36
2015-01-12,geo 22,714.77
2015-01-12,geo 23,491.41
2015-01-12,geo 24,526.15
2015-01-12,geo 25,560.9
2015-01-12,geo 26,421.92
2015-01-12,geo 27,436.8
2015-01-12,geo 28,392.13
2015-01-12,geo 29,263.08
2015-01-12,geo 3,4219.14
2015-01-12,geo 30,377.24
2015-01-12,geo 31,307.75
2015-01-12,geo 32,312.71
2015-01-12,geo 33,342.49
2015-01-12,geo 34,208.47
2015-01-12,geo 35,277.97
2015-01-12,geo 36,287.9
2015-01-12,geo 37,292.85
2015-01-12,geo 38,282.93
2015-01-12,geo 39,183.66
2015-01-12,geo 4,3290.93
2015-01-12,geo 40,153.87
2015-01-12,geo 41,223.36
2015-01-12,geo 42,228.33
2015-01-12,geo 43,178.69
2015-01-12,geo 44,248.18
2015-01-12,geo 45,193.59
2015-01-12,geo 46,188.62
2015-01-12,geo 47,188.62
2015-01-12,geo 48,208.47
2015-01-12,geo 49,223.36
2015-01-12,geo 5,2705.21
2015-01-12,geo 50,158.84
2015-01-12,geo 51,119.13
2015-01-12,geo 52,173.72
2015-01-12,geo 53,153.87
2015-01-12,geo 54,153.87
2015-01-12,geo 55,208.47
2015-01-12,geo 56,114.16
2015-01-12,geo 57,168.77
2015-01-12,geo 58,104.23
2015-01-12,geo 59,124.1
2015-01-12,geo 6,2015.26
2015-01-12,geo 60,59.56
2015-01-12,geo 61,124.1
2015-01-12,geo 62,79.42
2015-01-12,geo 63,109.2
2015-01-12,geo 64,134.02
2015-01-12,geo 65,104.23
2015-01-12,geo 66,94.31
2015-01-12,geo 67,99.28
2015-01-12,geo 68,64.53
2015-01-12,geo 69,54.6
2015-01-12,geo 7,1970.59
2015-01-12,geo 70,79.42
2015-01-12,geo 71,89.34
2015-01-12,geo 72,59.56
2015-01-12,geo 73,34.74
2015-01-12,geo 74,74.46
2015-01-12,geo 75,24.82
2015-01-12,geo 76,64.53
2015-01-12,geo 77,44.67
2015-01-12,geo 78,49.64
2015-01-12,geo 79,39.71
2015-01-12,geo 8,1960.65
2015-01-12,geo 80,39.71
2015-01-12,geo 81,44.67
2015-01-12,geo 82,49.64
2015-01-12,geo 83,54.6
2015-01-12,geo 84,84.38
2015-01-12,geo 85,54.6
2015-01-12,geo 86,34.74
2015-01-12,geo 87,39.71
2015-01-12,geo 88,39.71
2015-01-12,geo 89,44.67
2015-01-12,geo 9,1558.6
2015-01-12,geo 90,39.71
2015-01-12,geo 91,39.71
2015-01-12,geo 92,29.78
2015-01-12,geo 93,4.97
2015-01-12,geo 94,14.89
2015-01-12,geo 95,34.74
2015-01-12,geo 96,14.89
2015-01-12,geo 97,9.93
2015-01-12,geo 98,9.93
2015-01-12,geo 99,9.93
2015-01-13,geo 1,5616.11
2015-01-13,geo 10,1386.57
2015-01-13,geo 11,1281.83
2015-01-13,geo 12,1157.14
2015-01-13,geo 13,1396.54
2015-01-13,geo 14,992.54
2015-01-13,geo 15,1112.25
2015-01-13,geo 16,1157.14
2015-01-13,geo 17,1087.31
2015-01-13,geo 18,743.16
2015-01-13,geo 19,783.07
2015-01-13,geo 2,4818.08
2015-01-13,geo 20,688.29
2015-01-13,geo 21,633.43
2015-01-13,geo 22,603.51
2015-01-13,geo 23,603.51
2015-01-13,geo 24,463.85
2015-01-13,geo 25,488.79
2015-01-13,geo 26,329.18
2015-01-13,geo 27,404
2015-01-13,geo 28,314.23
2015-01-13,geo 29,384.05
2015-01-13,geo 3,4344.26
2015-01-13,geo 30,359.11
2015-01-13,geo 31,299.26
2015-01-13,geo 32,329.18
2015-01-13,geo 33,274.32
2015-01-13,geo 34,319.21
2015-01-13,geo 35,269.33
2015-01-13,geo 36,229.43
2015-01-13,geo 37,309.23
2015-01-13,geo 38,229.43
2015-01-13,geo 39,144.64
2015-01-13,geo 4,3750.73
2015-01-13,geo 40,269.33
2015-01-13,geo 41,254.37
2015-01-13,geo 42,189.53
2015-01-13,geo 43,214.47
2015-01-13,geo 44,149.62
2015-01-13,geo 45,194.52
2015-01-13,geo 46,174.56
2015-01-13,geo 47,164.59
2015-01-13,geo 48,109.73
2015-01-13,geo 49,129.68
2015-01-13,geo 5,2668.4
2015-01-13,geo 50,194.52
2015-01-13,geo 51,179.56
2015-01-13,geo 52,149.62
2015-01-13,geo 53,234.42
2015-01-13,geo 54,134.67
2015-01-13,geo 55,94.76
2015-01-13,geo 56,139.65
2015-01-13,geo 57,139.65
2015-01-13,geo 58,129.68
2015-01-13,geo 59,74.82
2015-01-13,geo 6,2015.02
2015-01-13,geo 60,94.76
2015-01-13,geo 61,109.73
2015-01-13,geo 62,74.82
2015-01-13,geo 63,69.83
2015-01-13,geo 64,74.82
2015-01-13,geo 65,54.86
2015-01-13,geo 66,64.84
2015-01-13,geo 67,94.76
2015-01-13,geo 68,69.83
2015-01-13,geo 69,59.85
2015-01-13,geo 7,1840.45
2015-01-13,geo 70,74.82
2015-01-13,geo 71,84.79
2015-01-13,geo 72,44.89
2015-01-13,geo 73,54.86
